ID,originalMoleculeSMILES,deglycosylatedMoleculeSMILES,hadOrHasSugars,SugarMoietySMILES
TPCN01483,CC1=CCCC(COC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)=CCC2=C(C)C(=O)OC2C1,CC1=CCCC(CO)=CCC2=C(C)C(=O)OC2C1,true,"['[C]1[CH][CH]OC1', 'O1[CH][CH][CH][CH][CH]1']"
TPCN01484,C=C1CC(OC(=O)C2(C)CO2)C2C(=C)C(=O)OC2C2C(=C)C(O)CC12,C=C1CC(OC(=O)C2(C)CO2)C2C(=C)C(=O)OC2C2C(=C)C(O)CC12,false,[]
TPCN01485,CC1CC=C2C13CC1(O)OC(OCC2(C)C1(C)O)C3O,CC1CC=C2C13CC1(O)OC(OCC2(C)C1(C)O)C3O,false,[]
TPCN01487,CC(=O)OC(C)C(C)(O)C(=O)OC1CCC2(C)CC(=O)C(C(C)(C)O)=CC2C1(C)OC(C)=O,CC(=O)OC(C)C(C)(O)C(=O)OC1CCC2(C)CC(=O)C(C(C)(C)O)=CC2C1(C)OC(C)=O,false,[]
TPCN01488,C=C1CCCC2(C)CCC3C(C)C(=O)OC3C12,C=C1CCCC2(C)CCC3C(C)C(=O)OC3C12,false,[]
TPCN01489,C=C1C(=O)OC2C=C(C)C(=O)C3OC3C(C)(O)CC(OC(=O)C(C)=CC)C12,C=C1C(=O)OC2C=C(C)C(=O)C3OC3C(C)(O)CC(OC(=O)C(C)=CC)C12,false,[]
TPCN01490,C=C1C(=O)OC2C=C(C)C(O)CC3OC3(C)CC(OC(=O)C(C)=CC)C12,C=C1C(=O)OC2C=C(C)C(O)CC3OC3(C)CC(OC(=O)C(C)=CC)C12,false,[]
TPCN01491,C=C1CCC2OC2(C)CCC2C1CC2(C)C,C=C1CCC2OC2(C)CCC2C1CC2(C)C,false,[]
TPCN01492,CC(=O)OCC=C(CO)C(=O)OC1CC(C)=CCCC(CO)=CC2OC(=O)C(C)C21,CC(=O)OCC=C(CO)C(=O)OC1CC(C)=CCCC(CO)=CC2OC(=O)C(C)C21,false,[]
TPCN01493,CCC(C)=CC(=O)OC1CC(C(C)C)C(=O)C2=C(C)CCC2(O)C1(C)O,CCC(C)=CC(=O)OC1CC(C(C)C)C(=O)C2=C(C)CCC2(O)C1(C)O,false,[]
