Family,Counts,Percentages(%),Min,Max,Mean,Median,Content(%)
Zingiberaceae,49,0.77,1.1e-05,0.0508,0.0027777222222222222,0.000253,1.1e-05~0.0508
Caryocaraceae,45,0.7,0.000225,0.086555,0.007462673469387748,0.002521,0.000225~0.086555
Menispermaceae,44,0.69,1.8e-05,0.006667,0.0009391632653061223,0.00038,1.8e-05~0.006667
Rutaceae,42,0.66,1.3e-05,0.0021,0.0006844285714285715,0.00065,1.3e-05~0.0021
Thymelaeaceae,40,0.63,9e-06,0.05814,0.001752704545454545,0.0001555,9e-06~0.05814
Amaranthaceae,37,0.58,2.2e-05,0.021,0.0022795000000000007,0.001333,2.2e-05~0.021
Zygophyllaceae,36,0.56,3.9e-05,0.007533,0.0007788055555555556,0.0003165,3.9e-05~0.007533
Malvaceae,36,0.56,1.4e-05,0.006,0.0015650277777777776,0.00017700000000000002,1.4e-05~0.006
Phyllanthaceae,35,0.55,1.9e-05,0.018519,0.0015525675675675673,0.00015,1.9e-05~0.018519
Biebersteiniaceae,34,0.53,6.7e-05,0.004457,0.001447166666666667,0.0011714999999999998,6.7e-05~0.004457
Rhamnaceae,32,0.5,1.1e-05,0.034842,0.002099333333333334,0.000632,1.1e-05~0.034842
Annonaceae,32,0.5,3.9e-05,0.007949,0.00115628125,0.0003225,3.9e-05~0.007949
Myrsinaceae,32,0.5,0.000114,0.033091,0.005747545454545455,0.000923,0.000114~0.033091
Loganiaceae,31,0.49,4.3e-05,0.0942,0.010113225806451614,0.001455,4.3e-05~0.0942
Bignoniaceae,31,0.49,1e-05,0.007867,0.0007555161290322579,0.000169,1e-05~0.007867
Polygalaceae,30,0.47,8e-05,0.1012,0.0055969999999999995,0.00064,8e-05~0.1012
Berberidaceae,27,0.42,0.000188,0.06525,0.006958468750000002,0.0010715,0.000188~0.06525
Campanulaceae,26,0.41,5e-05,0.022566,0.0021551290322580643,0.00018,5e-05~0.022566
Solanaceae,26,0.41,2e-05,0.007525,0.0016673703703703705,0.0007,2e-05~0.007525
Cupressaceae,25,0.39,3.6e-05,0.006438,0.0019448000000000002,0.000545,3.6e-05~0.006438
Lecythidaceae,25,0.39,4.2e-05,0.045,0.0029752400000000014,0.000709,4.2e-05~0.045
Sapotaceae,24,0.38,9.4e-05,0.210526,0.011179703703703704,0.0005,9.4e-05~0.210526
Combretaceae,24,0.38,0.000133,0.0495,0.0031179999999999997,0.0005535,0.000133~0.0495
Pinaceae,24,0.38,0.000124,0.01,0.002302791666666667,0.001,0.000124~0.01
Scrophulariaceae,23,0.36,1.3e-05,0.01,0.0018507826086956525,0.000292,1.3e-05~0.01
