Specie,Counts,Percentages(%),Min,Max,Mean,Median,Contents
Cyrtocymura scorpioides,1,0.02,3.8e-05,3.8e-05,3.8e-05,3.8e-05,3.8e-05~3.8e-05
Caesalpinia spinosa,1,0.02,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05~9.3e-05
Celastrus hindsii,1,0.02,8.7e-05,8.7e-05,8.7e-05,8.7e-05,8.7e-05~8.7e-05
Microtropis fokienensis,1,0.02,8.1e-05,8.1e-05,8.1e-05,8.1e-05,8.1e-05~8.1e-05
Aquilaria crassna,1,0.02,8e-05,8e-05,8e-05,8e-05,8e-05~8e-05
Erigeron breviscapus,1,0.02,7.4e-05,7.4e-05,7.4e-05,7.4e-05,7.4e-05~7.4e-05
Liriope muscari,1,0.02,6.7e-05,6.7e-05,6.7e-05,6.7e-05,6.7e-05~6.7e-05
Thuja standishii,1,0.02,3.8e-05,3.8e-05,3.8e-05,3.8e-05,3.8e-05~3.8e-05
Allophylus laevigatus,1,0.02,0.001852,0.001852,0.001852,0.001852,0.001852~0.001852
Kalimeris integrifolia,1,0.02,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05~3.2e-05
Zanthoxylum schinifolium,1,0.02,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05~3.1e-05
Antiaris toxicaria,1,0.02,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05~2.9e-05
Gardenia jasminoides,1,0.02,0.276667,0.276667,0.276667,0.276667,0.276667~0.276667
Daphne mucronata,1,0.02,0.002156,0.002156,0.002156,0.002156,0.002156~0.002156
Ferula sinaica,1,0.02,0.000294,0.000294,0.000294,0.000294,0.000294~0.000294
Perovskia abrotanoides,1,0.02,0.0001,0.0001,0.0001,0.0001,0.0001~0.0001
Acorus tatarinowii,1,0.02,0.0001,0.0001,0.0001,0.0001,0.0001~0.0001
Psychotria yunnanensis,1,0.02,0.0001,0.0001,0.0001,0.0001,0.0001~0.0001
Elephantopus tomentosus,1,0.02,0.000114,0.000114,0.000114,0.000114,0.000114~0.000114
Ferulago thirkeana,1,0.02,0.304414,0.304414,0.304414,0.304414,0.304414~0.304414
Ophiopogon japonicus,1,0.02,0.000161,0.000161,0.000161,0.000161,0.000161~0.000161
Saussurea laniceps,1,0.02,0.000167,0.000167,0.000167,0.000167,0.000167~0.000167
Euphorbia portlandica,1,0.02,0.000167,0.000167,0.000167,0.000167,0.000167~0.000167
Bupleurum chinense,1,0.02,0.000208,0.000208,0.000208,0.000208,0.000208~0.000208
Wikstroemia indica,1,0.02,0.000243,0.000243,0.000243,0.000243,0.000243~0.000243
Dulacia egleri,1,0.02,0.002067,0.002067,0.002067,0.002067,0.002067~0.002067
Sonneratia alba,1,0.02,0.00227,0.00227,0.00227,0.00227,0.00227~0.00227
Nepeta hindostana,1,0.02,0.003,0.003,0.003,0.003,0.003~0.003
Magnolia sieboldii,1,0.02,8.2e-05,8.2e-05,8.2e-05,8.2e-05,8.2e-05~8.2e-05
Plumeria acutifolia,1,0.02,0.000917,0.000917,0.000917,0.000917,0.000917~0.000917
Siparuna thecaphora,1,0.02,0.000871,0.000871,0.000871,0.000871,0.000871~0.000871
Drimys winteri,1,0.02,0.024133,0.024133,0.024133,0.024133,0.024133~0.024133
Psychotria brachyceras,1,0.02,0.15859,0.15859,0.15859,0.15859,0.15859~0.15859
Nauplius aquaticus,1,0.02,0.001833,0.001833,0.001833,0.001833,0.001833~0.001833
Cleome paradoxa,1,0.02,0.005333,0.005333,0.005333,0.005333,0.005333~0.005333
Polanisia dodecandra,1,0.02,0.008,0.008,0.008,0.008,0.008~0.008
Senecio culcitioides,1,0.02,0.000379,0.000379,0.000379,0.000379,0.000379~0.000379
Boswellia sacra,1,0.02,0.00288,0.00288,0.00288,0.00288,0.00288~0.00288
Ricinus communis,1,0.02,0.000331,0.000331,0.000331,0.000331,0.000331~0.000331
Pistacia lentiscus,1,0.02,0.005421,0.005421,0.005421,0.005421,0.005421~0.005421
Hedera colchica,1,0.02,0.083333,0.083333,0.083333,0.083333,0.083333~0.083333
Cephalaria leucantha,1,0.02,0.076667,0.076667,0.076667,0.076667,0.076667~0.076667
Dendrocnide sinuata,1,0.02,0.005922,0.005922,0.005922,0.005922,0.005922~0.005922
Marrubium vulgare,1,0.02,0.017333,0.017333,0.017333,0.017333,0.017333~0.017333
Ophiorrhiza shendurunii,1,0.02,0.0125,0.0125,0.0125,0.0125,0.0125~0.0125
Byrsonima microphylla,1,0.02,0.000291,0.000291,0.000291,0.000291,0.000291~0.000291
Mollugo spergula,1,0.02,0.0135,0.0135,0.0135,0.0135,0.0135~0.0135
Knema glauca,1,0.02,0.008037,0.008037,0.008037,0.008037,0.008037~0.008037
Aster bellidiastrum,1,0.02,0.00367,0.00367,0.00367,0.00367,0.00367~0.00367
Leucas nutans,1,0.02,0.003947,0.003947,0.003947,0.003947,0.003947~0.003947
Santalum album,1,0.02,0.00049,0.00049,0.00049,0.00049,0.00049~0.00049
Paeonia albiflora,1,0.02,0.013,0.013,0.013,0.013,0.013~0.013
Siegesbeckia glabrescens,1,0.02,0.000633,0.000633,0.000633,0.000633,0.000633~0.000633
Ixeris denticulata,1,0.02,0.0005,0.0005,0.0005,0.0005,0.0005~0.0005
Laguncularia racemosa,1,0.02,0.000714,0.000714,0.000714,0.000714,0.000714~0.000714
Rhizophora mucronata,1,0.02,0.000778,0.000778,0.000778,0.000778,0.000778~0.000778
Ligusticum chuanxiong,1,0.02,0.00085,0.00085,0.00085,0.00085,0.00085~0.00085
Aristolochia debilis,1,0.02,0.001,0.001,0.001,0.001,0.001~0.001
Cladogynos orientalis,1,0.02,0.001127,0.001127,0.001127,0.001127,0.001127~0.001127
Penstemon digitalis,1,0.02,0.047826,0.047826,0.047826,0.047826,0.047826~0.047826
Gochnatia polymorpha,1,0.02,0.001257,0.001257,0.001257,0.001257,0.001257~0.001257
Curcuma zedoaria,1,0.02,0.0014,0.0014,0.0014,0.0014,0.0014~0.0014
Tetraena mongolica,1,0.02,0.001442,0.001442,0.001442,0.001442,0.001442~0.001442
Centaurea ragusina,1,0.02,0.001578,0.001578,0.001578,0.001578,0.001578~0.001578
Ferula kuhistanica,1,0.02,0.0016,0.0016,0.0016,0.0016,0.0016~0.0016
Acacia cyclops,1,0.02,0.020354,0.020354,0.020354,0.020354,0.020354~0.020354
Strychnos trinervis,1,0.02,0.017808,0.017808,0.017808,0.017808,0.017808~0.017808
Xanthoceras sorbifolium,1,0.02,0.000126,0.000126,0.000126,0.000126,0.000126~0.000126
